PQGram,Count
script|{gotoXY}|literal:userDef,11
"{script}|doSwitchToCostume",21
sprite:userDef|{script}|receiveMessage|hide|*|*,9
"{receiveMessage}|literal:userDef|*|*",21
reportNot|{reportEquals}|getLastAnswer|reportSum|*,3
"*|snapshot|{stage:userDef}|script|script|script",2
reportEquals|{reportSum}|var:userDef|*|*,11
script|{doUntil}|reportEquals|script|*|*,2
"{list}|var:userDef|*|*",4
doUntil|script|{doIf}|*|*|reportNot|script,6
script|{gotoXY}|*|literal:userDef|literal:userDef,5
"{script}|*|*|receiveGo",6
script|doUntil|{script}|*|doAsk|doIf|*,6
script|doIf|{reportEquals}|getLastAnswer,4
doAsk|reportJoinWords|{list}|*|*|var:userDef,1
"{script}|doBroadcastAndWait",1
doUntil|reportEquals|{reportSum}|var:userDef,2
script|{doSayFor}|literal:userDef|*|*|*,14
doSetVar|{reportRandom}|*|literal:userDef|literal:userDef,3
script|doIf|{script}|doSayFor|doChangeVar|*|*,4
script|{doBroadcast}|literal:userDef,6
"{script}|*|doAsk|doIf",2
sprite:userDef|script|{doStopThis}|literal:userDef,1
script|{receiveKey}|*|literal:userDef|*,3
doUntil|reportEquals|{reportSum}|var:userDef|*|*|*,4
"{doRepeat}|*|*|literal:userDef",2
reportJoinWords|{list}|*|var:userDef,2
doIf|script|{doSayFor}|literal:userDef|*|*|*,9
"{doSetVar}|*|*|*|varMenu:userDef",10
script|doUntil|{reportEquals}|reportSum|*|*,6
stage:userDef|sprite:userDef|{script}|gotoXY|show,1
script|{gotoXY}|*|*|literal:userDef,9
"{gotoXY}|literal:userDef",13
script|{doWait}|*|*|literal:userDef|*,2
stage:userDef|{script}|*|*|*|receiveMessage,8
doIf|script|{doHideVar}|*|*|varMenu:userDef,2
snapshot|stage:userDef|{sprite:userDef}|script|script|script,28
"{script}|doSayFor",2
sprite:userDef|script|{receiveMessage}|literal:userDef|*|*|*,1
doUntil|{script}|doIf|*|*|*,1
"{gotoXY}|literal:userDef|literal:userDef",9
doIf|script|{doChangeVar}|literal:userDef|*|*,7
"{doSetVar}|*|varMenu:userDef|reportRandom|*",5
