,,,,,cochangescore0,cochangescore1,cochangescore2,cochangescore3,cochangescore4,keymove0,keymove1,keymove2,keymove3,keymove4,jump0,jump1,jump2,jump3,jump4,movetomouse0,movetomouse1,movetomouse2,movetomouse3,movetomouse4,costopall0,costopall1,costopall2,costopall3,costopall4
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911250>,1,1,100,0.0,,,,,,,,,,0.8837209302325582,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911250>,1,1,100,0.1,,,,,,,,,,0.8705882352941177,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911250>,1,1,100,0.2,,,,,,,,,,0.8433734939759038,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911250>,1,1,100,0.3,,,,,,,,,,0.8536585365853658,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911250>,1,1,100,0.4,,,,,,,,,,0.8536585365853658,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911250>,1,1,100,0.5,,,,,,,,,,0.8536585365853658,,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282e3290>,3,1,100,0.0,,,,,,,,,,,0.6153846153846153,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282e3290>,3,1,100,0.1,,,,,,,,,,,0.64,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282e3290>,3,1,100,0.2,,,,,,,,,,,0.56,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282e3290>,3,1,100,0.3,,,,,,,,,,,0.45161290322580644,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282e3290>,3,1,100,0.4,,,,,,,,,,,0.5,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x1282e3290>,3,1,100,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329310>,2,1,100,0.0,,,,,,,,,,,,0.7441860465116279,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329310>,2,1,100,0.1,,,,,,,,,,,,0.6666666666666667,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329310>,2,1,100,0.2,,,,,,,,,,,,0.8,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329310>,2,1,100,0.3,,,,,,,,,,,,0.6829268292682926,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329310>,2,1,100,0.4,,,,,,,,,,,,0.761904761904762,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329310>,2,1,100,0.5,,,,,,,,,,,,0.6666666666666667,,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1282e33d0>,3,1,100,0.0,,,,,,,,,,,,,0.689655172413793,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1282e33d0>,3,1,100,0.1,,,,,,,,,,,,,0.5625000000000001,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1282e33d0>,3,1,100,0.2,,,,,,,,,,,,,0.5714285714285714,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1282e33d0>,3,1,100,0.3,,,,,,,,,,,,,0.43750000000000006,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1282e33d0>,3,1,100,0.4,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear10 object at 0x1282e33d0>,3,1,100,0.5,,,,,,,,,,,,,0.5625000000000001,,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911550>,3,4,100,0.0,,,,,,,,,,,,,,0.7222222222222222,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911550>,3,4,100,0.1,,,,,,,,,,,,,,0.7692307692307692,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911550>,3,4,100,0.2,,,,,,,,,,,,,,0.7368421052631577,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911550>,3,4,100,0.3,,,,,,,,,,,,,,0.7567567567567567,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911550>,3,4,100,0.4,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP01 object at 0x12a911550>,3,4,100,0.5,,,,,,,,,,,,,,0.717948717948718,,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1282e3fd0>,2,3,100,0.0,,,,,,,,,,,,,,,0.6923076923076924,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1282e3fd0>,2,3,100,0.1,,,,,,,,,,,,,,,0.5925925925925926,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1282e3fd0>,2,3,100,0.2,,,,,,,,,,,,,,,0.5517241379310345,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1282e3fd0>,2,3,100,0.3,,,,,,,,,,,,,,,0.5833333333333334,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1282e3fd0>,2,3,100,0.4,,,,,,,,,,,,,,,0.5599999999999999,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x1282e3fd0>,2,3,100,0.5,,,,,,,,,,,,,,,0.5599999999999999,,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329510>,1,1,100,0.0,,,,,,,,,,,,,,,,0.6,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329510>,1,1,100,0.1,,,,,,,,,,,,,,,,0.39999999999999997,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329510>,1,1,100,0.2,,,,,,,,,,,,,,,,0.16666666666666669,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329510>,1,1,100,0.3,,,,,,,,,,,,,,,,0.39999999999999997,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329510>,1,1,100,0.4,,,,,,,,,,,,,,,,0.0,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearModel object at 0x128329510>,1,1,100,0.5,,,,,,,,,,,,,,,,-1.0,,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128883210>,1,1,100,0.0,,,,,,,,,,,,,,,,,0.26666666666666666,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128883210>,1,1,100,0.1,,,,,,,,,,,,,,,,,0.4,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128883210>,1,1,100,0.2,,,,,,,,,,,,,,,,,0.14285714285714288,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128883210>,1,1,100,0.3,,,,,,,,,,,,,,,,,0.16666666666666669,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128883210>,1,1,100,0.4,,,,,,,,,,,,,,,,,0.0,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128883210>,1,1,100,0.5,,,,,,,,,,,,,,,,,0.0,,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a10>,1,2,100,0.0,,,,,,,,,,,,,,,,,,0.3529411764705882,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a10>,1,2,100,0.1,,,,,,,,,,,,,,,,,,0.3529411764705882,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a10>,1,2,100,0.2,,,,,,,,,,,,,,,,,,0.0,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a10>,1,2,100,0.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a10>,1,2,100,0.4,,,,,,,,,,,,,,,,,,0.0,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a10>,1,2,100,0.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a90>,1,3,100,0.0,,,,,,,,,,,,,,,,,,,0.48000000000000004,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a90>,1,3,100,0.1,,,,,,,,,,,,,,,,,,,0.6,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a90>,1,3,100,0.2,,,,,,,,,,,,,,,,,,,0.4761904761904762,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a90>,1,3,100,0.3,,,,,,,,,,,,,,,,,,,0.375,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a90>,1,3,100,0.4,,,,,,,,,,,,,,,,,,,0.0,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinear100 object at 0x128864a90>,1,3,100,0.5,,,,,,,,,,,,,,,,,,,0.0,,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128864fd0>,1,2,100,0.0,,,,,,,,,,,,,,,,,,,,0.5384615384615384,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128864fd0>,1,2,100,0.1,,,,,,,,,,,,,,,,,,,,0.5,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128864fd0>,1,2,100,0.2,,,,,,,,,,,,,,,,,,,,0.13333333333333333,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128864fd0>,1,2,100,0.3,,,,,,,,,,,,,,,,,,,,0.0,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128864fd0>,1,2,100,0.4,,,,,,,,,,,,,,,,,,,,0.0,,,,,
<classifiers.svm_classifiers.SVM_Linear.SVMLinearP1 object at 0x128864fd0>,1,2,100,0.5,,,,,,,,,,,,,,,,,,,,-1.0,,,,,
