name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.34: [script, receiveInteraction, {literal:pressed}, *]",109,0.3411764705882353,0.3768844221105528,-1.0,-1.0,-1.0
"0.11: [script, doGotoObject, {literal:random position}, *]",110,0.10588235294117647,0.10552763819095477,-1.0,-1.0,-1.0
"0.30: [reportOr, reportKeyPressed, {literal:right arrow}, *]",111,0.3,0,-1.0,-1.0,-1.0
"0.15: [script, receiveKey, {literal:right arrow}, *]",112,0.15294117647058825,0,-1.0,-1.0,-1.0
"0.51: [doIf, reportKeyPressed, {literal:right arrow}, *]",113,0.5058823529411764,0,-1.0,-1.0,-1.0
"0.21: [script, receiveKey, {literal:space}, *]",114,0.21176470588235294,0.21105527638190955,-1.0,-1.0,-1.0
"0.19: [doIf, reportKeyPressed, {literal:space}, *]",115,0.19411764705882353,0,-1.0,-1.0,-1.0
"0.25: [script, doStopThis, {literal:this script}, *]",116,0.24705882352941178,0.19095477386934673,-1.0,-1.0,-1.0
"0.11: [reportAnd, reportKeyPressed, {literal:up arrow}, *]",117,0.11176470588235295,0,-1.0,-1.0,-1.0
"0.15: [script, receiveKey, {literal:up arrow}, *]",118,0.14705882352941177,0,-1.0,-1.0,-1.0
"0.37: [doIf, reportKeyPressed, {literal:up arrow}, *]",119,0.37058823529411766,0,-1.0,-1.0,-1.0
"0.15: [doIfElse, reportKeyPressed, {literal:up arrow}, *]",120,0.15294117647058825,0,-1.0,-1.0,-1.0
"0.24: [reportOr, reportKeyPressed, {literal:up arrow}, *]",121,0.2411764705882353,0,-1.0,-1.0,-1.0
"0.15: [doWaitUntil, reportEquals, {literal:userDef}, *]",122,0.15294117647058825,0.135678391959799,-1.0,-1.0,-1.0
"0.64: [script, doPlaySoundUntilDone, {literal:userDef}, *]",123,0.6352941176470588,0.5175879396984925,-1.0,-1.0,-1.0
"0.18: [script, setXPosition, {literal:userDef}, *]",124,0.17647058823529413,0.11055276381909548,-1.0,-1.0,-1.0
"0.27: [gotoXY, reportRandom, {literal:userDef}, *]",125,0.27058823529411763,0.15577889447236182,-1.0,-1.0,-1.0
"0.10: [reportEquals, reportRandom, {literal:userDef}, *]",126,0.1,0,-1.0,-1.0,-1.0
"0.48: [script, playSound, {literal:userDef}, *]",127,0.4764705882352941,0.4623115577889447,-1.0,-1.0,-1.0
"0.36: [doIf, reportTouchingColor, {literal:userDef}, *]",128,0.3588235294117647,0.135678391959799,-1.0,-1.0,-1.0
"0.49: [script, forward, {literal:userDef}, *]",129,0.49411764705882355,0.31155778894472363,-1.0,-1.0,-1.0
"0.19: [script, doFaceTowards, {literal:userDef}, *]",130,0.19411764705882353,0.10552763819095477,-1.0,-1.0,-1.0
"0.31: [doUntil, reportEquals, {literal:userDef}, *]",131,0.31176470588235294,0.17587939698492464,-1.0,-1.0,-1.0
"0.25: [reportOr, reportKeyPressed, {literal:userDef}, *]",132,0.24705882352941178,0,-1.0,-1.0,-1.0
"0.28: [changeXPosition, reportProduct, {literal:userDef}, *]",133,0.2823529411764706,0,-1.0,-1.0,-1.0
"0.18: [script, evaluateCustomBlock:userDef, {literal:userDef}, *]",134,0.18235294117647058,0.12060301507537688,-1.0,-1.0,-1.0
"0.29: [reportOr, reportEquals, {literal:userDef}, *]",135,0.28823529411764703,0.1658291457286432,-1.0,-1.0,-1.0
"0.12: [script, createClone, {literal:userDef}, *]",136,0.11764705882352941,0,-1.0,-1.0,-1.0
"0.22: [script, receiveKey, {literal:userDef}, *]",137,0.21764705882352942,0.1507537688442211,-1.0,-1.0,-1.0
"0.82: [script, doWait, {literal:userDef}, *]",138,0.8176470588235294,0.7989949748743719,-1.0,-1.0,-1.0
