name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.94: [sprite:userDef, script, {hide}, *]",93,0.9444444444444444,0.6835016835016835,-1.0,-1.0,-1.0
"0.50: [doIf, script, {hide}, *]",94,0.5,0.3265993265993266,-1.0,-1.0,-1.0
"0.22: [doForever, script, {hide}, *]",95,0.2222222222222222,0.11784511784511785,-1.0,-1.0,-1.0
"0.29: [doIfElse, script, {hide}, *]",96,0.2916666666666667,0.1414141414141414,-1.0,-1.0,-1.0
"0.53: [doTellTo, reifyScript, {list}, *]",97,0.5277777777777778,0.37037037037037035,-1.0,-1.0,-1.0
"0.53: [script, doTellTo, {list}, *]",98,0.5277777777777778,0.37037037037037035,-1.0,-1.0,-1.0
"0.53: [script, doTellTo, {literal:Stage}, *]",99,0.5277777777777778,0.37037037037037035,-1.0,-1.0,-1.0
"0.13: [reportEquals, reportAttributeOf, {literal:Stage}, *]",100,0.125,0,-1.0,-1.0,-1.0
"0.15: [reportQuotient, reportMonadic, {literal:abs}, *]",101,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.14: [reportLessThan, reportMonadic, {literal:abs}, *]",102,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.14: [script, doDeleteFromList, {literal:all}, *]",103,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.22: [script, doStopThis, {literal:all}, *]",104,0.2222222222222222,0.2962962962962963,-1.0,-1.0,-1.0
"0.32: [script, goToLayer, {literal:back}, *]",105,0.3194444444444444,0.18181818181818182,-1.0,-1.0,-1.0
"0.25: [script, setEffect, {literal:brightness}, *]",106,0.25,0.10101010101010101,-1.0,-1.0,-1.0
"0.15: [script, changeEffect, {literal:brightness}, *]",107,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.17: [script, changeEffect, {literal:color}, *]",108,0.16666666666666666,0.15151515151515152,-1.0,-1.0,-1.0
"0.15: [script, setEffect, {literal:color}, *]",109,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.11: [doIf, reportKeyPressed, {literal:down arrow}, *]",110,0.1111111111111111,0.15488215488215487,-1.0,-1.0,-1.0
"0.11: [doUntil, reportTouchingObject, {literal:edge}, *]",111,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.60: [script, goToLayer, {literal:front}, *]",112,0.5972222222222222,0.3838383838383838,-1.0,-1.0,-1.0
"0.50: [script, changeEffect, {literal:ghost}, *]",113,0.5,0.23905723905723905,-1.0,-1.0,-1.0
"0.60: [script, setEffect, {literal:ghost}, *]",114,0.5972222222222222,0.24915824915824916,-1.0,-1.0,-1.0
"0.49: [doIf, reportKeyPressed, {literal:left arrow}, *]",115,0.4861111111111111,0.2222222222222222,-1.0,-1.0,-1.0
"0.47: [reportOr, reportKeyPressed, {literal:left arrow}, *]",116,0.4722222222222222,0,-1.0,-1.0,-1.0
"0.26: [doIfElse, reportTouchingObject, {literal:mouse-pointer}, *]",117,0.2638888888888889,0.1111111111111111,-1.0,-1.0,-1.0
"0.15: [reportAnd, reportTouchingObject, {literal:mouse-pointer}, *]",118,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.49: [script, createClone, {literal:myself}, *]",119,0.4861111111111111,0.31986531986531985,-1.0,-1.0,-1.0
"0.40: [script, doStopThis, {literal:other scripts in sprite}, *]",120,0.4027777777777778,0.2053872053872054,-1.0,-1.0,-1.0
"0.42: [script, receiveInteraction, {literal:pressed}, *]",121,0.4166666666666667,0.3501683501683502,-1.0,-1.0,-1.0
"0.47: [reportOr, reportKeyPressed, {literal:right arrow}, *]",122,0.4722222222222222,0,-1.0,-1.0,-1.0
"0.47: [doIf, reportKeyPressed, {literal:right arrow}, *]",123,0.4722222222222222,0.2222222222222222,-1.0,-1.0,-1.0
"0.25: [reportOr, reportKeyPressed, {literal:space}, *]",124,0.25,0,-1.0,-1.0,-1.0
"0.18: [script, receiveKey, {literal:space}, *]",125,0.18055555555555555,0.2222222222222222,-1.0,-1.0,-1.0
"0.13: [doIf, reportKeyPressed, {literal:space}, *]",126,0.125,0.12121212121212122,-1.0,-1.0,-1.0
"0.26: [script, doStopThis, {literal:this script}, *]",127,0.2638888888888889,0.20202020202020202,-1.0,-1.0,-1.0
"0.22: [reportAnd, reportKeyPressed, {literal:up arrow}, *]",128,0.2222222222222222,0,-1.0,-1.0,-1.0
"0.28: [doIfElse, reportKeyPressed, {literal:up arrow}, *]",129,0.2777777777777778,0,-1.0,-1.0,-1.0
"0.14: [script, receiveKey, {literal:up arrow}, *]",130,0.1388888888888889,0.10101010101010101,-1.0,-1.0,-1.0
"0.32: [doIf, reportKeyPressed, {literal:up arrow}, *]",131,0.3194444444444444,0.15824915824915825,-1.0,-1.0,-1.0
"0.42: [reportOr, reportKeyPressed, {literal:up arrow}, *]",132,0.4166666666666667,0,-1.0,-1.0,-1.0
"0.25: [doWaitUntil, reportEquals, {literal:userDef}, *]",133,0.25,0.11784511784511785,-1.0,-1.0,-1.0
"0.13: [doWaitUntil, reportTouchingObject, {literal:userDef}, *]",134,0.125,0,-1.0,-1.0,-1.0
"0.13: [script, doAddToList, {literal:userDef}, *]",135,0.125,0,-1.0,-1.0,-1.0
"0.11: [setScale, reportRandom, {literal:userDef}, *]",136,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.14: [script, turnLeft, {literal:userDef}, *]",137,0.1388888888888889,0.14814814814814814,-1.0,-1.0,-1.0
"0.78: [script, doPlaySoundUntilDone, {literal:userDef}, *]",138,0.7777777777777778,0.5084175084175084,-1.0,-1.0,-1.0
"0.31: [script, setXPosition, {literal:userDef}, *]",139,0.3055555555555556,0.10101010101010101,-1.0,-1.0,-1.0
"0.22: [gotoXY, reportRandom, {literal:userDef}, *]",140,0.2222222222222222,0.20875420875420875,-1.0,-1.0,-1.0
"0.71: [doIf, reportEquals, {literal:userDef}, *]",141,0.7083333333333334,0.38047138047138046,-1.0,-1.0,-1.0
"0.14: [reportEquals, reportRandom, {literal:userDef}, *]",142,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.47: [script, playSound, {literal:userDef}, *]",143,0.4722222222222222,0.4781144781144781,-1.0,-1.0,-1.0
"0.43: [doIf, reportTouchingColor, {literal:userDef}, *]",144,0.4305555555555556,0.18518518518518517,-1.0,-1.0,-1.0
"0.38: [script, forward, {literal:userDef}, *]",145,0.375,0.39057239057239057,-1.0,-1.0,-1.0
"0.15: [script, doFaceTowards, {literal:userDef}, *]",146,0.1527777777777778,0.14814814814814814,-1.0,-1.0,-1.0
"0.40: [doUntil, reportEquals, {literal:userDef}, *]",147,0.4027777777777778,0.18518518518518517,-1.0,-1.0,-1.0
"0.13: [doUntil, reportTouchingObject, {literal:userDef}, *]",148,0.125,0,-1.0,-1.0,-1.0
"0.33: [reportOr, reportKeyPressed, {literal:userDef}, *]",149,0.3333333333333333,0,-1.0,-1.0,-1.0
"0.11: [reportQuotient, reportDifference, {literal:userDef}, *]",150,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.26: [reportJoinWords, list, {literal:userDef}, *]",151,0.2638888888888889,0.10101010101010101,-1.0,-1.0,-1.0
"0.96: [script, gotoXY, {literal:userDef}, *]",152,0.9583333333333334,0.734006734006734,-1.0,-1.0,-1.0
"0.13: [doSetVar, reportSum, {literal:userDef}, *]",153,0.125,0,-1.0,-1.0,-1.0
"0.79: [script, receiveMessage, {literal:userDef}, *]",154,0.7916666666666666,0.5858585858585859,-1.0,-1.0,-1.0
"0.14: [reportDifference, reportProduct, {literal:userDef}, *]",155,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.13: [reportNot, reportKeyPressed, {literal:userDef}, *]",156,0.125,0,-1.0,-1.0,-1.0
"0.39: [reportOr, reportTouchingObject, {literal:userDef}, *]",157,0.3888888888888889,0.12794612794612795,-1.0,-1.0,-1.0
"0.14: [reportAnd, reportKeyPressed, {literal:userDef}, *]",158,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.14: [doRepeat, reportRandom, {literal:userDef}, *]",159,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.65: [script, setEffect, {literal:userDef}, *]",160,0.6527777777777778,0.2828282828282828,-1.0,-1.0,-1.0
"0.28: [script, setVolume, {literal:userDef}, *]",161,0.2777777777777778,0.1447811447811448,-1.0,-1.0,-1.0
"0.97: [script, doSetVar, {literal:userDef}, *]",162,0.9722222222222222,0.6632996632996633,-1.0,-1.0,-1.0
"0.29: [script, evaluateCustomBlock:userDef, {literal:userDef}, *]",163,0.2916666666666667,0,-1.0,-1.0,-1.0
"0.60: [script, changeEffect, {literal:userDef}, *]",164,0.5972222222222222,0.3602693602693603,-1.0,-1.0,-1.0
"0.44: [reportOr, reportEquals, {literal:userDef}, *]",165,0.4444444444444444,0.1414141414141414,-1.0,-1.0,-1.0
"0.39: [reportOr, reportLessThan, {literal:userDef}, *]",166,0.3888888888888889,0.1111111111111111,-1.0,-1.0,-1.0
"0.13: [script, createClone, {literal:userDef}, *]",167,0.125,0,-1.0,-1.0,-1.0
"0.25: [script, receiveKey, {literal:userDef}, *]",168,0.25,0.1750841750841751,-1.0,-1.0,-1.0
"0.85: [script, doWait, {literal:userDef}, *]",169,0.8472222222222222,0.7676767676767676,-1.0,-1.0,-1.0
"0.29: [script, setYPosition, {literal:userDef}, *]",170,0.2916666666666667,0.10101010101010101,-1.0,-1.0,-1.0
"0.11: [doSwitchToCostume, reportDifference, {literal:userDef}, *]",171,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.17: [changeXPosition, reportDifference, {literal:userDef}, *]",172,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.28: [script, doGotoObject, {literal:userDef}, *]",173,0.2777777777777778,0.1919191919191919,-1.0,-1.0,-1.0
"0.69: [script, setScale, {literal:userDef}, *]",174,0.6944444444444444,0.43097643097643096,-1.0,-1.0,-1.0
"0.14: [doSwitchToCostume, reportRandom, {literal:userDef}, *]",175,0.1388888888888889,0.10101010101010101,-1.0,-1.0,-1.0
"0.15: [doChangeVar, reportQuotient, {literal:userDef}, *]",176,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.26: [script, doBroadcastAndWait, {literal:userDef}, *]",177,0.2638888888888889,0.14814814814814814,-1.0,-1.0,-1.0
"0.15: [script, doIf, {literal:userDef}, *]",178,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.39: [reportAnd, reportEquals, {literal:userDef}, *]",179,0.3888888888888889,0.16161616161616163,-1.0,-1.0,-1.0
"0.11: [gotoXY, reportSum, {literal:userDef}, *]",180,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.22: [doIf, reportKeyPressed, {literal:userDef}, *]",181,0.2222222222222222,0.13468013468013468,-1.0,-1.0,-1.0
"0.38: [reportAnd, reportLessThan, {literal:userDef}, *]",182,0.375,0.11784511784511785,-1.0,-1.0,-1.0
"0.75: [script, doRepeat, {literal:userDef}, *]",183,0.75,0.5050505050505051,-1.0,-1.0,-1.0
"0.17: [reportOr, reportTouchingColor, {literal:userDef}, *]",184,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.29: [reportNot, reportTouchingObject, {literal:userDef}, *]",185,0.2916666666666667,0,-1.0,-1.0,-1.0
"0.67: [doIfElse, reportLessThan, {literal:userDef}, *]",186,0.6666666666666666,0.1750841750841751,-1.0,-1.0,-1.0
"0.61: [doSetVar, reportProduct, {literal:userDef}, *]",187,0.6111111111111112,0,-1.0,-1.0,-1.0
"0.97: [script, doSwitchToCostume, {literal:userDef}, *]",188,0.9722222222222222,0.7811447811447811,-1.0,-1.0,-1.0
"0.19: [script, doSayFor, {literal:userDef}, *]",189,0.19444444444444445,0.29292929292929293,-1.0,-1.0,-1.0
"0.13: [setHeading, reportRandom, {literal:userDef}, *]",190,0.125,0.10101010101010101,-1.0,-1.0,-1.0
"0.96: [script, doChangeVar, {literal:userDef}, *]",191,0.9583333333333334,0.6127946127946128,-1.0,-1.0,-1.0
"0.69: [script, setHeading, {literal:userDef}, *]",192,0.6944444444444444,0.4175084175084175,-1.0,-1.0,-1.0
"0.21: [reportAnd, reportTouchingObject, {literal:userDef}, *]",193,0.20833333333333334,0,-1.0,-1.0,-1.0
"0.60: [script, changeXPosition, {literal:userDef}, *]",194,0.5972222222222222,0.3602693602693603,-1.0,-1.0,-1.0
"0.75: [doIf, reportTouchingObject, {literal:userDef}, *]",195,0.75,0.40404040404040403,-1.0,-1.0,-1.0
"0.26: [script, changeScale, {literal:userDef}, *]",196,0.2638888888888889,0.27946127946127947,-1.0,-1.0,-1.0
"0.17: [doChangeVar, reportProduct, {literal:userDef}, *]",197,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.21: [reportSum, reportProduct, {literal:userDef}, *]",198,0.20833333333333334,0.10101010101010101,-1.0,-1.0,-1.0
"0.21: [doWait, reportRandom, {literal:userDef}, *]",199,0.20833333333333334,0.1414141414141414,-1.0,-1.0,-1.0
"0.21: [doIfElse, reportTouchingObject, {literal:userDef}, *]",200,0.20833333333333334,0,-1.0,-1.0,-1.0
"0.42: [script, doGlide, {literal:userDef}, *]",201,0.4166666666666667,0.31313131313131315,-1.0,-1.0,-1.0
"0.21: [script, goBack, {literal:userDef}, *]",202,0.20833333333333334,0.10774410774410774,-1.0,-1.0,-1.0
"0.86: [script, changeYPosition, {literal:userDef}, *]",203,0.8611111111111112,0.367003367003367,-1.0,-1.0,-1.0
"0.21: [doSetVar, reportRandom, {literal:userDef}, *]",204,0.20833333333333334,0.12794612794612795,-1.0,-1.0,-1.0
"0.21: [reportLessThan, reportAttributeOf, {literal:userDef}, *]",205,0.20833333333333334,0,-1.0,-1.0,-1.0
"0.13: [reportSum, reportQuotient, {literal:userDef}, *]",206,0.125,0,-1.0,-1.0,-1.0
"0.24: [reportEquals, reportAttributeOf, {literal:userDef}, *]",207,0.2361111111111111,0.13804713804713806,-1.0,-1.0,-1.0
"0.64: [doIf, reportLessThan, {literal:userDef}, *]",208,0.6388888888888888,0.26936026936026936,-1.0,-1.0,-1.0
"0.36: [script, turn, {literal:userDef}, *]",209,0.3611111111111111,0.26262626262626265,-1.0,-1.0,-1.0
"0.82: [script, doBroadcast, {literal:userDef}, *]",210,0.8194444444444444,0.5757575757575758,-1.0,-1.0,-1.0
"0.36: [reportNot, reportEquals, {literal:userDef}, *]",211,0.3611111111111111,0,-1.0,-1.0,-1.0
"0.14: [doSetVar, reportDifference, {literal:userDef}, *]",212,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.25: [doUntil, reportLessThan, {literal:userDef}, *]",213,0.25,0.12794612794612795,-1.0,-1.0,-1.0
"0.11: [reportMonadic, reportProduct, {literal:userDef}, *]",214,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.46: [doIfElse, reportEquals, {literal:userDef}, *]",215,0.4583333333333333,0.25252525252525254,-1.0,-1.0,-1.0
"0.14: [reportAnd, reportTouchingColor, {literal:userDef}, *]",216,0.1388888888888889,0,-1.0,-1.0,-1.0
"1.00: [sprite:userDef, script, {receiveGo}, *]",217,1.0,0.9494949494949495,-1.0,-1.0,-1.0
"0.69: [stage:Stage, script, {receiveGo}, *]",218,0.6944444444444444,0.5218855218855218,-1.0,-1.0,-1.0
"0.50: [sprite:userDef, script, {receiveOnClone}, *]",219,0.5,0.3333333333333333,-1.0,-1.0,-1.0
"0.17: [doIfElse, script, {removeClone}, *]",220,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.28: [doIf, script, {removeClone}, *]",221,0.2777777777777778,0.18855218855218855,-1.0,-1.0,-1.0
"0.44: [sprite:userDef, script, {removeClone}, *]",222,0.4444444444444444,0.26262626262626265,-1.0,-1.0,-1.0
"0.11: [doIf, reportAnd, {reportMouseDown}, *]",223,0.1111111111111111,0,-1.0,-1.0,-1.0
"0.15: [reportOr, reportAnd, {reportMouseDown}, *]",224,0.1527777777777778,0,-1.0,-1.0,-1.0
"0.17: [reportAnd, reportLessThan, {reportMouseX}, *]",225,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.14: [reportAnd, reportLessThan, {reportMouseY}, *]",226,0.1388888888888889,0,-1.0,-1.0,-1.0
"0.19: [script, doIfElse, {script}, *]",227,0.19444444444444445,0.11784511784511785,-1.0,-1.0,-1.0
"0.54: [snapshot, customBlock:userDef, {script}, *]",228,0.5416666666666666,0.39057239057239057,-1.0,-1.0,-1.0
"0.17: [script, doIf, {script}, *]",229,0.16666666666666666,0,-1.0,-1.0,-1.0
"0.32: [doIfElse, script, {show}, *]",230,0.3194444444444444,0.13468013468013468,-1.0,-1.0,-1.0
"0.94: [sprite:userDef, script, {show}, *]",231,0.9444444444444444,0.6902356902356902,-1.0,-1.0,-1.0
"0.13: [customBlock:userDef, script, {show}, *]",232,0.125,0,-1.0,-1.0,-1.0
"0.36: [doIf, script, {show}, *]",233,0.3611111111111111,0.18518518518518517,-1.0,-1.0,-1.0
"0.18: [doForever, script, {show}, *]",234,0.18055555555555555,0.11447811447811448,-1.0,-1.0,-1.0
"0.11: [snapshot, stage:Stage, {sprite:userDef}, *]",235,0.1111111111111111,0.1717171717171717,-1.0,-1.0,-1.0
